Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40be30, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bde5, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bdbc, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bd8d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40bd6b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 401d30, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f398, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f390, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc91, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc8a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cc83, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40bd68, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 403cd0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f368, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bcf0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404d50, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404c40, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40ccdf, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cd14, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404c40, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40cd45, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404c40, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40cd6f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40ccf4, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404c40, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 40ccdf, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 60f2b0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 404c40, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f338, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f340, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60f348, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40c8ae, ro: 1, rt: DATA
