Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 61e078, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 4140c4, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 413f90, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 61e0e0, ro: 0, rt: DATA
Deserializing functions...
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414151, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 413052, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413050, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413051, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41304f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414144, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 413052, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413050, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 413051, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41304f, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
Deserializing functions...
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41369b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414661, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 4147fe, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 414802, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 4147fa, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 4014e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 41401d, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 41296b, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40d8e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 412fe8, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 414d5a, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4118d0, ro: 0, rt: CODE
