Looking up target...
Reading module ...
 TT x86-64 : x86_64-unknown-unknown 
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 60e29c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2a8, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e2ac, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e3b0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: IMM, to: 40c6d0, ro: 1, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 60ddf0, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60ddf0, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 401030, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e198, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e198, ro: 0, rt: DATA
Deserializing functions...
set_ref_reloc_type: Adding  ref: IMM, to: 40bede, ro: 1, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403240, ro: 0, rt: CODE
Deserializing functions...
set_ref_reloc_type: Adding  ref: MEM, to: 403210, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e274, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc98, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cca0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40ccb0, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 402c60, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4010f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4025e0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc80, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc90, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b270, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40b270, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e28c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40b010, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e28c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40b010, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e280, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e284, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40a5c0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40aca0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40aca0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: IMM, to: 400eb0, ro: 1, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033a0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40ab10, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 60e278, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 409650, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc80, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4033f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 4033f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc80, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 4033f0, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc88, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc80, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e298, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e290, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc70, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e27c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc70, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e27c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 403350, ro: 0, rt: CODE
set_ref_reloc_type: Adding  ref: MEM, to: 40cc70, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 60e27c, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc70, ro: 0, rt: DATA
set_ref_reloc_type: Adding  ref: MEM, to: 40cc78, ro: 0, rt: DATA
